'Variáveis','Não tem renda','Até 1 salário mínimo','Mais de 1 até 2 salários mínimos','Mais de 2 até 5 salários mínimos','Mais de 5 até 10 salários mínimos','Mais 10 salários mínimos','Não respondeu','Total'
'Masculino','171','182','187','211','35','5','12','803'
'Feminino','120','89','73','40','7','1','3','333'
